name;zipcode;total_employment;total_senior_employment
L'Abergement-Clémenciat;01001;85,02257334;4
L'Abergement-de-Varey;01002;7,925019014;0
Ambérieu-en-Bugey;01004;7619,273352;410,979623
Ambérieux-en-Dombes;01005;267,630658;7,920792079
Ambléon;01006;4,242614584;0
Ambronay;01007;476,3630275;25,41158913
Ambutrix;01008;145,2999798;7,892473118
Andert-et-Condon;01009;23,62048556;0
Anglefort;01010;179,6155265;0
Apremont;01011;54,87704003;0
Aranc;01012;40,85666779;3,935691318
Arandas;01013;12,15;4,05
Arbent;01014;2001,657349;161,8531583
Arbignieu;01015;46,53384947;3,911111111
Arbigny;01016;44,66165414;0
Argis;01017;48,26209786;0
Armix;01019;0;0
Ars-sur-Formans;01021;309,3978008;35,63557736
Artemare;01022;327,014479;0
Asnières-sur-Saône;01023;25,472888;0
Attignat;01024;887,1704551;38,46080939
Bâgé-la-Ville;01025;448,4578235;12,64711531
Bâgé-le-Châtel;01026;195,0911922;3,966909816
Balan;01027;2079,613102;101,1985957
Baneins;01028;59,70393636;0
Beaupont;01029;163,4156507;0
Beauregard;01030;60,56510018;3,990669333
Bellignat;01031;2111,711436;150,9479246
Béligneux;01032;1209,534557;62,89573926
Bellegarde-sur-Valserine;01033;4381,851811;214,9990713
Belley;01034;6076,243846;322,4275509
Belleydoux;01035;52,32398754;0
Belmont-Luthézieu;01036;32;4
Bénonces;01037;24;4
Bény;01038;62,41295315;12
Béon;01039;116,8067764;0
Béréziat;01040;62,85653594;0
Bettant;01041;49,19430866;7,839142091
Bey;01042;32,06793213;0
Beynost;01043;3291,500881;298,556788
Billiat;01044;70,46129667;7,570934256
Birieux;01045;55,92373204;0
Biziat;01046;99,54848127;3,951040392
Blyes;01047;846,8284944;50,83253502
La Boisse;01049;978,6874105;69,38312422
Boissey;01050;38,91136345;0
Bolozon;01051;4,043956044;0
Bouligneux;01052;33,66765331;0
Bourg-en-Bresse;01053;31249,70096;2058,661184
Bourg-Saint-Christophe;01054;123,2841423;11,45627981
Boyeux-Saint-Jérôme;01056;34,45147769;0
Boz;01057;60,29641132;0
Brégnier-Cordon;01058;240,2719455;11,94052348
Brénaz;01059;31,25984683;0
Brénod;01060;76,19526187;0
Brens;01061;71,59362178;4,089810017
Bressolles;01062;307,4635741;32,66615291
Brion;01063;457,5695572;32,75052256
Briord;01064;637,6869043;47,8357296
Buellas;01065;190,7786143;3,868717949
La Burbanche;01066;16,68571429;0
Ceignes;01067;124,1823752;3,939366384
Cerdon;01068;153,5645509;4,000147359
Certines;01069;357,2585686;32,84410247
Cessy;01071;614,9772306;46,37064861
Ceyzériat;01072;989,5840614;94,55211879
Ceyzérieu;01073;114,7747648;11,39104478
Chalamont;01074;696,8325956;31,14365858
Chaleins;01075;479,1859796;0
Chaley;01076;3,8;0
Challes-la-Montagne;01077;19,91322259;0
Challex;01078;112,1387421;4,14672519
Champagne-en-Valromey;01079;359,0720957;16,12456839
Champdor;01080;103,1343999;7,991416309
Champfromier;01081;530,307311;66,78284543
Chanay;01082;226,7809997;0
Chaneins;01083;143,750818;12
Chanoz-Châtenay;01084;60,20308896;0
La Chapelle-du-Châtelard;01085;70,64288881;0
