name;zipcode;company_created_13;company_13;start_up_13
01001;L'Abergement-Clémenciat;3;24;8
01002;L'Abergement-de-Varey;3;9;3
01004;Ambérieu-en-Bugey;93;785;253
01005;Ambérieux-en-Dombes;7;89;29
01006;Ambléon;3;1;1
01007;Ambronay;14;114;33
01008;Ambutrix;7;42;10
01009;Andert-et-Condon;1;24;9
01010;Anglefort;9;36;17
01011;Apremont;2;14;6
01012;Aranc;3;10;3
01013;Arandas;1;8;2
01014;Arbent;17;241;57
01015;Arbignieu;4;21;11
01016;Arbigny;1;10;4
01017;Argis;3;11;7
01019;Armix;;1;0
01021;Ars-sur-Formans;8;70;17
01022;Artemare;11;82;18
01023;Asnières-sur-Saône;;2;0
01024;Attignat;12;104;31
01025;Bâgé-la-Ville;18;89;24
01026;Bâgé-le-Châtel;5;40;8
01027;Balan;13;95;27
01028;Baneins;4;27;11
01029;Beaupont;5;16;6
01030;Beauregard;5;36;13
01031;Bellignat;25;214;36
01032;Béligneux;16;149;57
01033;Bellegarde-sur-Valserine;71;489;133
01034;Belley;69;559;137
01035;Belleydoux;;14;5
01036;Belmont-Luthézieu;6;26;12
01037;Bénonces;4;7;1
01038;Bény;2;32;9
01039;Béon;3;18;4
01040;Béréziat;3;11;3
01041;Bettant;1;16;9
01042;Bey;4;6;3
01043;Beynost;45;397;124
01044;Billiat;1;28;13
01045;Birieux;2;17;6
01046;Biziat;4;32;6
01047;Blyes;6;68;21
01049;La Boisse;28;159;44
01050;Boissey;2;5;1
01051;Bolozon;1;7;4
01052;Bouligneux;1;14;7
01053;Bourg-en-Bresse;340;2270;561
01054;Bourg-Saint-Christophe;8;40;11
01056;Boyeux-Saint-Jérôme;3;18;8
01057;Boz;6;20;6
01058;Brégnier-Cordon;8;35;10
01059;Brénaz;;5;1
01060;Brénod;5;20;5
01061;Brens;9;29;10
01062;Bressolles;8;35;14
01063;Brion;4;28;4
01064;Briord;9;40;12
01065;Buellas;7;66;24
01066;La Burbanche;;4;2
01067;Ceignes;1;15;4
01068;Cerdon;4;34;9
01069;Certines;6;50;21
01071;Cessy;34;159;56
01072;Ceyzériat;30;158;45
01073;Ceyzérieu;6;44;19
01074;Chalamont;22;127;40
01075;Chaleins;15;65;14
01076;Chaley;2;1;0
01077;Challes-la-Montagne;1;10;6
01078;Challex;5;27;8
01079;Champagne-en-Valromey;3;61;9
01080;Champdor;5;11;4
01081;Champfromier;6;35;10
01082;Chanay;1;14;6
01083;Chaneins;6;50;13
01084;Chanoz-Châtenay;5;31;7
01085;La Chapelle-du-Châtelard;1;19;6
01087;Charix;;10;6
01088;Charnoz-sur-Ain;8;59;19
01089;Château-Gaillard;10;101;37
01090;Châtenay;2;17;7
01091;Châtillon-en-Michaille;20;152;55
01092;Châtillon-la-Palud;12;63;24
01093;Châtillon-sur-Chalaronne;41;302;84
01094;Chavannes-sur-Reyssouze;9;24;9
01095;Chavannes-sur-Suran;6;27;6
01096;Chaveyriat;5;39;14
01097;Chavornay;;7;0
01098;Chazey-Bons;6;58;13
01099;Chazey-sur-Ain;6;85;29
01100;Cheignieu-la-Balme;2;7;2
01101;Chevillard;1;4;0
01102;Chevroux;4;30;9
01103;Chevry;2;23;9
01104;Chézery-Forens;1;21;5
01105;Civrieux;11;90;29
