name;zipcode;total_employment_11;total_senior_employment_11
L'Abergement-Clémenciat;1001;85;4
L'Abergement-de-Varey;1002;8;0
Ambérieu-en-Bugey;1004;7619;411
Ambérieux-en-Dombes;1005;268;8
Ambléon;1006;4;0
Ambronay;1007;476;25
Ambutrix;1008;145;8
Andert-et-Condon;1009;24;0
Anglefort;1010;180;0
Apremont;1011;55;0
Aranc;1012;41;4
Arandas;1013;12;4
Arbent;1014;2002;162
Arbignieu;1015;47;4
Arbigny;1016;45;0
Argis;1017;48;0
Armix;1019;0;0
Ars-sur-Formans;1021;309;36
Artemare;1022;327;0
Asnières-sur-Saône;1023;26;0
Attignat;1024;887;39
Bâgé-la-Ville;1025;449;13
Bâgé-le-Châtel;1026;195;4
Balan;1027;2080;101
Baneins;1028;60;0
Beaupont;1029;163;0
Beauregard;1030;61;4
Bellignat;1031;2112;151
Béligneux;1032;1210;63
Bellegarde-sur-Valserine;1033;4382;215
Belley;1034;6076;322
Belleydoux;1035;52;0
Belmont-Luthézieu;1036;32;4
Bénonces;1037;24;4
Bény;1038;62;12
Béon;1039;117;0
Béréziat;1040;63;0
Bettant;1041;49;8
Bey;1042;32;0
Beynost;1043;3292;299
Billiat;1044;71;8
Birieux;1045;56;0
Biziat;1046;100;4
Blyes;1047;847;51
La Boisse;1049;979;69
Boissey;1050;39;0
Bolozon;1051;4;0
Bouligneux;1052;34;0
Bourg-en-Bresse;1053;31250;2059
Bourg-Saint-Christophe;1054;123;12
Boyeux-Saint-Jérôme;1056;35;0
Boz;1057;60;0
Brégnier-Cordon;1058;240;12
Brénaz;1059;31;0
Brénod;1060;76;0
Brens;1061;72;4
Bressolles;1062;308;33
Brion;1063;458;33
Briord;1064;638;48
Buellas;1065;191;4
La Burbanche;1066;17;0
Ceignes;1067;124;4
Cerdon;1068;154;4
Certines;1069;357;33
Cessy;1071;615;46
Ceyzériat;1072;990;95
Ceyzérieu;1073;115;11
Chalamont;1074;697;31
Chaleins;1075;479;0
Chaley;1076;4;0
Challes-la-Montagne;1077;20;0
Challex;1078;112;4
Champagne-en-Valromey;1079;359;16
Champdor;1080;103;8
Champfromier;1081;530;67
Chanay;1082;227;0
Chaneins;1083;144;12
Chanoz-Châtenay;1084;60;0
La Chapelle-du-Châtelard;1085;71;0
Charix;1087;33;0
Charnoz-sur-Ain;1088;329;24
Château-Gaillard;1089;533;25
Châtenay;1090;65;0
Châtillon-en-Michaille;1091;901;44
Châtillon-la-Palud;1092;171;20
Châtillon-sur-Chalaronne;1093;2852;144
Chavannes-sur-Reyssouze;1094;70;8
Chavannes-sur-Suran;1095;151;6
Chaveyriat;1096;150;0
Chavornay;1097;46;0
Chazey-Bons;1098;383;51
Chazey-sur-Ain;1099;332;11
Cheignieu-la-Balme;1100;16;0
Chevillard;1101;20;0
