name;zipcode;tot_loisirs
L'Abergement-Clémenciat;1001;15
L'Abergement-de-Varey;1002;0
Ambérieu-en-Bugey;1004;113
Ambérieux-en-Dombes;1005;29
Ambléon;1006;0
Ambronay;1007;25
Ambutrix;1008;12
Andert-et-Condon;1009;0
Anglefort;1010;16
Apremont;1011;2
Aranc;1012;2
Arandas;1013;5
Arbent;1014;42
Arbignieu;1015;10
Arbigny;1016;3
Argis;1017;11
Armix;1019;0
Ars-sur-Formans;1021;18
Artemare;1022;20
Asnières-sur-Saône;1023;0
Attignat;1024;29
Bâgé-la-Ville;1025;16
Bâgé-le-Châtel;1026;14
Balan;1027;49
Baneins;1028;19
Beaupont;1029;17
Beauregard;1030;20
Bellignat;1031;46
Béligneux;1032;44
Bellegarde-sur-Valserine;1033;119
Belley;1034;78
Belleydoux;1035;8
Belmont-Luthézieu;1036;2
Bénonces;1037;0
Bény;1038;13
Béon;1039;4
Béréziat;1040;21
Bettant;1041;11
Bey;1042;4
Beynost;1043;52
Billiat;1044;2
Birieux;1045;2
Biziat;1046;10
Blyes;1047;20
La Boisse;1049;41
Boissey;1050;2
Bolozon;1051;2
Bouligneux;1052;0
Bourg-en-Bresse;1053;412
Bourg-Saint-Christophe;1054;17
Boyeux-Saint-Jérôme;1056;2
Boz;1057;5
Brégnier-Cordon;1058;33
Brénaz;1059;0
Brénod;1060;14
Brens;1061;15
Bressolles;1062;17
Brion;1063;9
Briord;1064;2
Buellas;1065;36
La Burbanche;1066;2
Ceignes;1067;4
Cerdon;1068;3
Certines;1069;18
Cessy;1071;21
Ceyzériat;1072;36
Ceyzérieu;1073;10
Chalamont;1074;30
Chaleins;1075;16
Chaley;1076;5
Challes-la-Montagne;1077;7
Challex;1078;11
Champagne-en-Valromey;1079;17
Champdor;1080;14
Champfromier;1081;9
Chanay;1082;20
Chaneins;1083;15
Chanoz-Châtenay;1084;11
La Chapelle-du-Châtelard;1085;4
Charix;1087;10
Charnoz-sur-Ain;1088;0
Château-Gaillard;1089;18
Châtenay;1090;6
Châtillon-en-Michaille;1091;22
Châtillon-la-Palud;1092;20
Châtillon-sur-Chalaronne;1093;70
Chavannes-sur-Reyssouze;1094;3
Chavannes-sur-Suran;1095;8
Chaveyriat;1096;12
Chavornay;1097;3
Chazey-Bons;1098;12
Chazey-sur-Ain;1099;22
Cheignieu-la-Balme;1100;4
Chevillard;1101;0
Chevroux;1102;8
Chevry;1103;13
Chézery-Forens;1104;6
Civrieux;1105;17
Cize;1106;7
Cleyzieu;1107;0
Coligny;1108;20
Collonges;1109;24
Colomieu;1110;6
Conand;1111;7
Condamine;1112;11
Condeissiat;1113;20
Confort;1114;0
Confrançon;1115;19
Contrevoz;1116;9
Conzieu;1117;6
Corbonod;1118;10
Corcelles;1119;15
Corlier;1121;0
Cormaranche-en-Bugey;1122;20
Cormoranche-sur-Saône;1123;31
Cormoz;1124;14
Corveissiat;1125;11
Courmangoux;1127;15
Courtes;1128;0
Crans;1129;6
Cras-sur-Reyssouze;1130;15
Cressin-Rochefort;1133;16
Crottet;1134;23
Crozet;1135;15
Cruzilles-lès-Mépillat;1136;13
Culoz;1138;54
Curciat-Dongalon;1139;19
Curtafond;1140;22
Cuzieu;1141;3
Dagneux;1142;30
Divonne-les-Bains;1143;88
Dommartin;1144;16
Dompierre-sur-Veyle;1145;23
Dompierre-sur-Chalaronne;1146;4
Domsure;1147;10
Dortan;1148;18
Douvres;1149;10
Drom;1150;6
Druillat;1151;14
Échallon;1152;8
Échenevex;1153;29
Étrez;1154;25
Évosges;1155;8
Faramans;1156;15
Fareins;1157;36
Farges;1158;3
Feillens;1159;27
Ferney-Voltaire;1160;50
Flaxieu;1162;0
Foissiat;1163;20
Francheleins;1165;23
Frans;1166;11
Garnerans;1167;9
Genouilleux;1169;4
Béard-Géovreissiat;1170;5
Géovreisset;1171;9
Germagnat;1172;5
Gex;1173;61
Giron;1174;9
Gorrevod;1175;11
Le Grand-Abergement;1176;2
Grand-Corent;1177;0
Grièges;1179;22
Grilly;1180;18
Groissiat;1181;12
Groslée;1182;0
Guéreins;1183;17
Hautecourt-Romanèche;1184;28
Hauteville-Lompnes;1185;63
Hostiaz;1186;2
Hotonnes;1187;15
Illiat;1188;8
Injoux-Génissiat;1189;21
Innimond;1190;2
Izenave;1191;3
Izernore;1192;31
Izieu;1193;5
Jassans-Riottier;1194;53
Jasseron;1195;32
Jayat;1196;13
Journans;1197;0
Joyeux;1198;6
Jujurieux;1199;27
Labalme;1200;9
Lagnieu;1202;61
Laiz;1203;21
Lalleyriat;1204;0
Lancrans;1205;10
Lantenay;1206;3
Lapeyrouse;1207;5
Lavours;1208;2
Léaz;1209;6
Lélex;1210;11
Lent;1211;15
Lescheroux;1212;7
Leyment;1213;19
Leyssard;1214;0
Lhôpital;1215;0
Lhuis;1216;6
Lochieu;1218;0
Lompnas;1219;2
Lompnieu;1221;3
Loyettes;1224;26
Lurcy;1225;0
Magnieu;1227;7
Maillat;1228;5
Malafretaz;1229;51
Mantenay-Montlin;1230;2
Manziat;1231;23
Marboz;1232;32
Marchamp;1233;0
Marignieu;1234;0
Marlieux;1235;18
Marsonnas;1236;9
Martignat;1237;15
Massieux;1238;20
Massignieu-de-Rives;1239;19
Matafelon-Granges;1240;4
Meillonnas;1241;18
Mérignat;1242;0
Messimy-sur-Saône;1243;20
Meximieux;1244;57
Bohas-Meyriat-Rignat;1245;6
Mézériat;1246;34
Mijoux;1247;5
Mionnay;1248;32
