name;pop_totale
Belley;97378
Bourg-en-Bresse;352278
Gex;84042
Nantua;87397
Château-Thierry;74769
Laon;170944
Saint-Quentin;134940
Soissons;106172
Vervins;69116
Montluçon;118991
Moulins;108978
Vichy;125067
Barcelonnette;8540
Castellane;9734
Digne-les-Bains;57908
Forcalquier;89832
Briançon;36255
Gap;107707
Grasse;568250
Nice;529451
Largentière;99527
Privas;88641
Tournon-sur-Rhône;138904
Charleville-Mézières;168171
Rethel;37702
Sedan;62436
Vouziers;23163
Foix;54116
Pamiers;75023
Saint-Girons;28797
Bar-sur-Aube;30033
Nogent-sur-Seine;55156
Troyes;227022
Carcassonne;164947
Limoux;46143
Narbonne;158413
Millau;73374
Rodez;147886
Villefranche-de-Rouergue;66157
Aix-en-Provence;428812
Arles;203117
Istres;313259
Marseille;1059877
Bayeux;68905
Caen;421963
Lisieux;151772
Vire;59196
Aurillac;85795
Mauriac;27634
Saint-Flour;40034
Angoulême;204202
Cognac;94585
Confolens;67064
Jonzac;58177
Rochefort;189852
La Rochelle;210359
Saintes;130648
Saint-Jean-d'Angély;55317
Bourges;178122
Saint-Amand-Montrond;68851
Vierzon;72989
Brive-la-Gaillarde;133903
Tulle;82456
Ussel;34816
Ajaccio;108764
Sartène;39445
Bastia;84661
Calvi;29732
Corte;57088
Beaune;100014
Dijon;376068
Montbard;64016
Dinan;131707
Guingamp;90970
Lannion;104753
Saint-Brieuc;287543
Aubusson;39351
Guéret;88192
Bergerac;114481
Nontron;42413
Périgueux;193592
Sarlat-la-Canéda;77382
Besançon;251343
Montbéliard;182480
Pontarlier;110055
Die;43603
Nyons;142348
Valence;316926
Les Andelys;183968
Bernay;167534
Évreux;253711
Chartres;212015
Châteaudun;61107
Dreux;129827
Nogent-le-Rotrou;38887
Brest;379014
Châteaulin;89717
Morlaix;133915
Quimper;329065
Alès;154072
Nîmes;544091
Le Vigan;36760
Muret;210477
Saint-Gaudens;79996
Toulouse;995577
Auch;88350
Condom;67804
Mirande;39989
Arcachon;141288
Blaye;86527
Bordeaux;897082
Langon;130800
Lesparre-Médoc;85188
Libourne;153179
Béziers;305736
Lodève;92679
Montpellier;682408
Fougères-Vitré;179455
Redon;105939
Rennes;580296
Saint-Malo;158556
Le Blanc;33822
Châteauroux;132668
La Châtre;34154
Issoudun;36712
Chinon;88323
Loches;53069
Tours;467702
Grenoble;763542
La Tour-du-Pin;266255
Vienne;213373
Dole;86643
Lons-le-Saunier;131477
Saint-Claude;53540
Dax;219314
Mont-de-Marsan;182248
Blois;176654
Romorantin-Lanthenay;92083
Vendôme;73148
Montbrison;187927
Roanne;162415
Saint-Étienne;416288
Brioude;48132
Le Puy-en-Velay;99003
Yssingeaux;85703
Ancenis;62387
Châteaubriant;128230
Nantes;820259
Saint-Nazaire;321648
Montargis;175827
Orléans;438684
Pithiviers;63846
Cahors;79711
Figeac;56192
Gourdon;45540
Agen;122054
Marmande;85600
Nérac;40433
Villeneuve-sur-Lot;93866
